Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68708cf6b2a5c6baa48d6343,5ef60257cd680928de23ccae,APPROVED,Not Applicable,2025-07-11T04:03:02.613000Z,2025-07-11T04:07:42.625000Z,2025-07-15T04:08:31.855000Z,2025-07-11T04:07:43.031319Z,281.0,C1MO6037,377,29,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
68708d873d4d0b6d92e59937,5c48be0496d59b000183e68d,APPROVED,Not Applicable,2025-07-11T04:05:42.316000Z,2025-07-11T04:13:25.502000Z,2025-07-15T04:08:32.344000Z,2025-07-11T04:13:25.947923Z,464.0,C1MO6037,1457,48,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68708f072c19330dab93cd7b,5d3449524e8363001735fc41,APPROVED,Not Applicable,2025-07-11T04:12:14.614000Z,2025-07-11T04:20:51.642000Z,2025-07-15T04:08:32.762000Z,2025-07-11T04:20:52.060603Z,518.0,C1MO6037,657,42,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,Full-Time
68708f80de42cf279f3089d8,5a913d2cf0536100017196d8,APPROVED,Not Applicable,2025-07-11T04:13:57.716000Z,2025-07-11T04:16:47.135000Z,2025-07-15T04:08:33.160000Z,2025-07-11T04:16:47.592395Z,170.0,C1MO6037,29,27,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68708fb5ab7d87dd294e6c74,5d3873197860c8001a106e02,APPROVED,Not Applicable,2025-07-11T04:16:49.056000Z,2025-07-11T04:21:24.387000Z,2025-07-15T04:08:33.533000Z,2025-07-11T04:21:24.787505Z,276.0,C1MO6037,2564,34,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
687094e288619ac95ba25723,60245c7c3df42d131232cedb,APPROVED,Not Applicable,2025-07-11T04:41:11.602000Z,2025-07-11T04:47:42.993000Z,2025-07-15T04:08:33.916000Z,2025-07-11T04:47:43.545552Z,392.0,C1MO6037,702,54,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Part-Time
687095aeba3aebf69bdcad66,5af82cf9e066a40001136ace,APPROVED,Not Applicable,2025-07-11T04:40:14.382000Z,2025-07-11T04:44:05.457000Z,2025-07-15T04:08:34.344000Z,2025-07-11T04:44:05.992186Z,232.0,C1MO6037,1177,33,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68709673f963667f00c2bb31,6167d7e71526370c959d164b,APPROVED,Not Applicable,2025-07-11T04:43:38.246000Z,2025-07-11T04:47:02.588000Z,2025-07-15T04:08:34.749000Z,2025-07-11T04:47:02.998575Z,205.0,C1MO6037,621,43,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
6870969a31e46370413db1b1,5df2235d5a34251266ea645e,APPROVED,Not Applicable,2025-07-11T04:44:13.145000Z,2025-07-11T04:48:34.345000Z,2025-07-15T04:08:35.147000Z,2025-07-11T04:48:34.757339Z,262.0,C1MO6037,1107,28,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
68709a0d3aeaea4b1090941a,6150053fddd36a6892b8f13c,APPROVED,Not Applicable,2025-07-11T04:59:02.450000Z,2025-07-11T05:03:03.398000Z,2025-07-15T04:08:35.526000Z,2025-07-11T05:03:03.830158Z,241.0,C1MO6037,517,49,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68709ad4f87b3d3189fa671c,5a945d966475f900019fac27,APPROVED,Not Applicable,2025-07-11T05:02:15.504000Z,2025-07-11T05:05:55.492000Z,2025-07-15T04:08:36.003000Z,2025-07-11T05:05:55.910841Z,220.0,C1MO6037,858,32,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Due to start a new job within the next month
6870a17e0452d7d1621a5a55,5e9ab5df2893af141343bce7,APPROVED,Not Applicable,2025-07-11T05:30:40.794000Z,2025-07-11T05:34:06.357000Z,2025-07-15T04:08:36.443000Z,2025-07-11T05:34:06.742947Z,206.0,C1MO6037,473,34,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6870a55820a9e1d0115a1848,5fd7cd077541e708f2a10aed,APPROVED,Not Applicable,2025-07-11T05:47:06.535000Z,2025-07-11T05:51:27.263000Z,2025-07-15T04:08:36.832000Z,2025-07-11T05:51:27.661830Z,261.0,Failed to copy the link at the end,628,30,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6875d31d7bffb101f48a07c8,60390dd01c38de312b32bbae,APPROVED,Not Applicable,2025-07-15T04:03:47.308000Z,2025-07-15T04:08:45.505000Z,2025-07-15T04:11:03.842000Z,2025-07-15T04:08:46.130481Z,299.0,C1MO6037,443,49,Female,White,Hungary,Hungary,Canada,Hungarian,DATA_EXPIRED,DATA_EXPIRED
6877342ccaa6c2c0cf067095,5c58954591c0ad0001cffb59,APPROVED,Not Applicable,2025-07-16T05:10:08.977000Z,2025-07-16T05:13:46.575000Z,2025-07-16T05:29:14.671000Z,2025-07-16T05:13:47.382166Z,218.0,C1MO6037,602,49,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
68708f8efa1e0597b0190536,5e57a0020c3c6a14a1624031,RETURNED,Not Applicable,2025-07-11T04:14:06.334000Z,,,,,,2298,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68709907666ec3a5f1f3ac13,599494e7bf8bcf0001ab6973,RETURNED,Not Applicable,2025-07-11T04:54:34.726000Z,2025-07-11T04:56:56.924000Z,,2025-07-11T04:56:57.337000Z,,C1MO6037,540,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6870a49ede7e0dfd874e4028,5f5a27482be30c0718bbf1e0,REJECTED,Not Applicable,2025-07-11T05:53:53.333000Z,2025-07-11T05:56:03.340000Z,2025-07-14T05:07:40.241000Z,2025-07-11T05:56:03.940000Z,131.0,C1MO6037,1203,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
