cond,item,group,sentence,audiofile,attentionquestion,answers,originalcond
fem,3,a,我夏天的时候常常穿,F03_B005.wav,,,
fem,3,b,我天热的时候喜欢穿,F03_B006.wav,,,
fem,4,a,我很喜欢别人叫我,F03_B007.wav,,,
fem,4,b,朋友在我生日的时候送了我,F03_B008.wav,,,
fem,5,a,我的爱人总说我很,F03_B009.wav,,,
fem,5,b,我小时候家人总是说我太,F03_B010.wav,,,
fem,6,a,我去年生日收到一支,F03_B011.wav,,,
fem,6,b,我朋友总是夸我很,F03_B012.wav,,,
fem,7,a,我家里有很多不同品牌的,F03_B013.wav,,,
fem,7,b,我妈给我买了很多,F03_B014.wav,,,
fem,8,a,我过两天打算去买个,F03_B015.wav,,,
fem,8,b,我经常对着我的爱人,F03_B016.wav,,,
fem,9,a,我在陌生人面前总是很,F03_B017.wav,,,
fem,9,b,我每天都会抽空练,F03_B018.wav,,,
fem,10,a,我比较喜欢棕色的,F03_B019.wav,,,
fem,10,b,朋友说我适合浅色的,F03_B020.wav,,,
fem,11,a,我朋友上周送了我一块,F03_B021.wav,,,
fem,11,b,我空闲时喜欢去学习,F03_B022.wav,,,
fem,12,a,我平时最大的爱好就是,F03_B023.wav,,,
fem,12,b,我好像每天都在找,F03_B024.wav,,,
fem,13,a,我最常看的小说题材是,F03_B025.wav,,,
fem,13,b,我希望毕业后能成为,F03_B026.wav,,,
fem,14,a,我最爱看的电视剧类型是,F03_B027.wav,,,
fem,14,b,我习惯于定期给自己,F03_B028.wav,,,
fem,15,a,我最喜欢的颜色是,F03_B030.wav,,,
fem,15,b,我关注的博主都常常谈论,F03_B031.wav,,,
fem,16,a,我喜欢收集各种牌子的,F03_B032.wav,,,
fem,16,b,朋友们都很羡慕我的,F03_B033.wav,,,
fem,17,a,我每天早上都会用,F03_B034.wav,,,
fem,17,b,我的朋友说她觉得我身材很,F03_B035.wav,,,
fem,18,a,我五年前开始从事,F03_B036.wav,,,
fem,18,b,我喜欢戴棕色或黑色的,F03_B037.wav,,,
fem,19,a,我现在的职业是一名,F03_B038.wav,,,
fem,19,b,我很热衷于收集各种,F03_B039.wav,,,
fem,20,a,我总是希望我能更加,F03_B040.wav,,,
fem,20,b,我昨天弄丢了一瓶,F03_B041.wav,,,
fem,21,a,我希望我能变得更加,F03_B042.wav,,,
fem,21,b,我早上出门前习惯,F03_B043.wav,,,
fem,22,a,我今早没找到我的,F03_B044.wav,,,
fem,22,b,我身边人都说我很爱,F03_B045.wav,,,
fem,23,a,今天早上有人说我很,F03_B046.wav,,,
fem,23,b,我喜欢买各种各样的,F03_B047.wav,,,
mas,50,a,经常有同事称赞我很,M03_C003.wav,,,
mas,50,b,我目前在一家饭馆当,M03_C004.wav,,,
mas,51,a,我在从事这份工作前曾是,M03_C005.wav,,,
mas,51,b,我去年暑假学会了,M03_C006.wav,,,
mas,52,a,我的圣诞礼物是一个新的,M03_C007.wav,,,
mas,52,b,我喜欢用那种老式的,M03_C008.wav,,,
mas,53,a,我的训练目标是增加,M03_C009.wav,,,
mas,53,b,我的衣柜里有各种不同的,M03_C010.wav,,,
mas,54,a,很多人说我长得很,M03_C011.wav,,,
mas,54,b,我在工作时会表现得比较,M03_C012.wav,,,
mas,55,a,我很爱收集不同时期的,M03_C013.wav,,,
mas,55,b,我奋斗是为了成为一名,M03_C014.wav,,,
mas,56,a,我非常爱惜我去年买的,M03_C015.wav,,,
mas,56,b,我经常被别人夸奖很,M03_C016.wav,,,
mas,57,a,我五年前就成为了一名,M03_C017.wav,,,
mas,57,b,我目前在一家公司当,M03_C018.wav,,,
mas,58,a,我希望自己能变得更,M03_C019.wav,,,
mas,58,b,我的朋友都喜欢我的,M03_C020.wav,,,
mas,59,a,我希望我的声音能更有,M03_C021.wav,,,
mas,59,b,我熟知各种各样的,M03_C022.wav,,,
mas,60,a,我最崇拜的名人就是,M03_C023.wav,,,
mas,60,b,我父母从小就让我学习,M03_C024.wav,,,
mas,61,a,我毕业之后就成为了一名,M03_C025.wav,,,
mas,61,b,我从小就很羡慕别人能当,M03_C026.wav,,,
mas,62,a,我很了解各种各样的,M03_C027.wav,,,
mas,62,b,我一年四季都很爱穿,M03_C028.wav,,,
mas,63,a,我希望通过培训能成为一名,M03_C029.wav,,,
mas,63,b,我小时候最喜欢玩各种,M03_C030.wav,,,
mas,64,a,我非常爱惜我的新,M03_C032.wav,,,
mas,64,b,我放假时喜欢约上朋友去,M03_C033.wav,,,
mas,65,a,我专门买了一台摄影机来拍,M03_C034.wav,,,
mas,65,b,我的上司说他最欣赏我的,M03_C035.wav,,,
mas,66,a,我心情不好的时候会,M03_C036.wav,,,
mas,66,b,我最擅长的科目是,M03_C037.wav,,,
mas,67,a,我高中的时候有几次和同学,M03_C038.wav,,,
mas,67,b,我常常和朋友一起练习,M03_C039.wav,,,
mas,68,a,我很爱参加学校举办的,M03_C040.wav,,,
mas,68,b,我在休息日最爱穿的就是,M03_C041.wav,,,
mas,69,a,我从小就希望成为一名,M03_C042.wav,,,
mas,69,b,我最爱在电视上看,M03_C043.wav,,,
mas,70,a,我最喜欢的运动是,M03_C044.wav,,,
mas,70,b,我很爱和朋友谈论,M03_C045.wav,,,
mas,71,a,我在重要场合习惯佩戴,M03_C046.wav,,,
mas,71,b,我经常和朋友一起打,M03_C047.wav,,,
attention,100,a,我最喜欢的虚拟形象是,F03_B001.wav,礼物,F,fem
attention,100,b,我最信赖的人是我的,F03_B002.wav,教室,F,fem
attention,101,a,我希望我的身材能更加,F03_B003.wav,身材,T,fem
attention,101,b,我习惯自己给自己做,F03_B004.wav,自己的习惯,T,fem
attention,102,a,我最关注的领域是,M03_B097.wav,领域,T,mas
attention,102,b,我在公众场合经常很,M03_B098.wav,公开场合,T,mas
attention,103,a,我很自豪我是一名,M03_C001.wav,篮球,F,mas
attention,103,b,我希望大家都认为我很,M03_C002.wav,天气,F,mas
