participant_id,label,item_order,no,item,condition,counterbalancing,left,right,r1_rt,r2_rt,r3_rt,r4_rt,r5_rt,r6_rt,r7_rt,question_rt,choice_rt,choice_side,choice_time,et_calibration,et_calibration_time,et_file,et_file_time,left_dominant,left_fixation_count,left_dwell,left_tff,left_revisits,left_avg_fix,right_dominant,right_fixation_count,right_dwell,right_tff,right_revisits,right_avg_fix
990,practice,6,0.0,,n,A,B,participant_id,0.0,277.0,309.0,725.0,205.0,358.0,859.0,,5950.0,left,1758195513864.0,68,1758195499495.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195513868.0,,,,,,,,,,,,
991,practice,7,0.0,,y,D,C,participant_id,0.0,458.0,221.0,176.0,272.0,302.0,474.0,,6811.0,right,1758195532638.0,68,1758195518915.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195532639.0,,,,,,,,,,,,
992,practice,8,0.0,,n,E,F,participant_id,0.0,216.0,181.0,161.0,195.0,172.0,186.0,3281.0,7015.0,left,1758195596619.0,65,1758195581012.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195596623.0,,,,,,,,,,,,
a,experiment,10,3.0,,y,3b,3a,participant_id,0.0,213.0,150.0,209.0,188.0,188.0,145.0,,4624.0,left,1758195927485.0,78,1758195916265.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195928491.0,1.0,8.0,2692.0,0.0,7.0,336.5,0.0,8.0,1017.0,554.0,7.0,127.125
a,experiment,11,17.0,,n,17a,17b,participant_id,0.0,308.0,279.0,448.0,487.0,439.0,418.0,,4545.0,right,1758196159033.0,78,1758196143186.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196160042.0,1.0,11.0,2745.0,278.0,10.0,249.54545454545453,0.0,11.0,1215.0,0.0,10.0,110.45454545454545
a,experiment,12,4.0,,y,4b,4a,participant_id,0.0,1191.0,764.0,2404.0,2314.0,1909.0,1783.0,,7446.0,right,1758195791736.0,78,1758195761848.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195792754.0,1.0,2.0,1581.0,46.0,1.0,790.5,0.0,2.0,911.0,0.0,1.0,455.5
a,experiment,13,36.0,,y,reggeli,vacsora,participant_id,0.0,167.0,168.0,184.0,154.0,214.0,188.0,4737.0,3443.0,right,1758195738575.0,64,1758195723384.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195739580.0,0.0,6.0,989.0,124.0,5.0,164.83333333333334,1.0,5.0,1381.0,289.0,4.0,276.2
a,experiment,14,32.0,,n,politikus,újságíró,participant_id,0.0,344.0,205.0,155.0,176.0,,184.0,1718.0,5775.0,right,1758196037353.0,72,1758196022486.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196038370.0,0.0,8.0,2404.0,50.0,7.0,300.5,1.0,8.0,2957.0,774.0,7.0,369.625
a,experiment,15,22.0,,y,vezérigazgató,menedzser,participant_id,0.0,219.0,169.0,160.0,222.0,,174.0,4033.0,4522.0,right,1758195684301.0,63,1758195669288.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195685305.0,0.0,4.0,990.0,30.0,3.0,247.5,1.0,5.0,1402.0,0.0,4.0,280.4
a,experiment,16,16.0,,y,16b,16a,participant_id,0.0,409.0,251.0,192.0,344.0,379.0,433.0,,6839.0,right,1758196285746.0,69,1758196270273.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196286776.0,0.0,8.0,2098.0,613.0,7.0,262.25,1.0,9.0,2596.0,0.0,8.0,288.44444444444446
a,experiment,17,25.0,,n,ügyész,tudós,participant_id,0.0,364.0,210.0,187.0,177.0,,165.0,4798.0,3589.0,right,1758196179683.0,71,1758196164070.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196180710.0,1.0,6.0,1926.0,44.0,5.0,321.0,0.0,6.0,1523.0,215.0,5.0,253.83333333333334
a,experiment,18,31.0,,n,művész,üzletember,participant_id,0.0,187.0,179.0,173.0,154.0,,165.0,1849.0,3074.0,left,1758196195462.0,76,1758196184737.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196196480.0,0.0,2.0,1923.0,0.0,1.0,961.5,1.0,2.0,2882.0,860.0,1.0,1441.0
a,experiment,19,21.0,,y,orvos,tűzoltó,participant_id,0.0,235.0,183.0,156.0,156.0,,169.0,1446.0,6623.0,right,1758195980245.0,71,1758195966562.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195981250.0,0.0,6.0,723.0,0.0,5.0,120.5,1.0,5.0,1823.0,148.0,4.0,364.6
a,experiment,20,24.0,,y,mérnök,építész,participant_id,0.0,184.0,201.0,168.0,163.0,,277.0,1585.0,3689.0,right,1758196229094.0,71,1758196217055.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196230110.0,1.0,3.0,1724.0,113.0,2.0,574.6666666666666,0.0,3.0,277.0,38.0,2.0,92.33333333333333
a,experiment,21,18.0,,n,18a,18b,participant_id,0.0,255.0,302.0,262.0,227.0,346.0,391.0,,10453.0,right,1758195621183.0,71,1758195603904.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195622197.0,0.0,10.0,1897.0,48.0,9.0,189.7,1.0,10.0,3607.0,86.0,9.0,360.7
a,experiment,22,35.0,,n,pelikán,tigris,participant_id,0.0,244.0,304.0,288.0,276.0,,300.0,,4723.0,left,1758196212017.0,78,1758196200508.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196213033.0,0.0,8.0,1049.0,0.0,7.0,131.125,1.0,8.0,1595.0,34.0,7.0,199.375
a,experiment,23,15.0,,y,15b,15a,participant_id,0.0,188.0,205.0,173.0,164.0,180.0,170.0,,4803.0,right,1758195718334.0,76,1758195708010.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195719347.0,0.0,9.0,2493.0,86.0,8.0,277.0,1.0,9.0,5834.0,212.0,8.0,648.2222222222222
a,experiment,24,27.0,,y,kórboncnok,katona,participant_id,0.0,150.0,163.0,157.0,193.0,,176.0,3005.0,5050.0,left,1758195829767.0,72,1758195815772.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195830774.0,1.0,2.0,2546.0,0.0,1.0,1273.0,0.0,1.0,123.0,1529.0,0.0,123.0
a,experiment,25,6.0,,n,6a,6b,participant_id,0.0,395.0,318.0,218.0,390.0,333.0,410.0,,5465.0,right,1758196351839.0,82,1758196339104.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196352858.0,0.0,4.0,955.0,0.0,3.0,238.75,1.0,4.0,1814.0,40.0,3.0,453.5
a,experiment,26,28.0,,n,Mária,Julcsi,participant_id,0.0,161.0,159.0,151.0,198.0,,327.0,3301.0,2751.0,right,1758196100791.0,73,1758196088824.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196101818.0,1.0,8.0,2822.0,208.0,7.0,352.75,0.0,8.0,1155.0,0.0,7.0,144.375
a,experiment,27,9.0,,y,9b,9a,participant_id,0.0,250.0,180.0,189.0,161.0,194.0,191.0,,6028.0,right,1758196138131.0,73,1758196126390.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196139149.0,0.0,4.0,442.0,1738.0,3.0,110.5,1.0,4.0,2925.0,44.0,3.0,731.25
a,experiment,28,14.0,,y,14b,14a,participant_id,0.0,295.0,202.0,174.0,316.0,268.0,296.0,,6314.0,left,1758196334071.0,79,1758196321342.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196335084.0,0.0,3.0,519.0,70.0,2.0,173.0,1.0,2.0,1115.0,109.0,1.0,557.5
a,experiment,29,31.0,,y,művész,üzletember,participant_id,0.0,261.0,158.0,168.0,141.0,,173.0,1361.0,3354.0,right,1758195943143.0,69,1758195932523.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195944151.0,1.0,7.0,2725.0,76.0,6.0,389.2857142857143,0.0,7.0,1255.0,0.0,6.0,179.28571428571428
a,experiment,30,34.0,,y,hangya,elefánt,participant_id,0.0,246.0,416.0,203.0,344.0,,187.0,,6273.0,left,1758195702946.0,72,1758195689327.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195703969.0,1.0,6.0,3167.0,110.0,5.0,527.8333333333334,0.0,6.0,1065.0,0.0,5.0,177.5
a,experiment,31,11.0,,n,11a,11b,participant_id,0.0,280.0,189.0,168.0,145.0,154.0,183.0,,4889.0,right,1758195894858.0,73,1758195884223.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195895889.0,0.0,2.0,914.0,0.0,1.0,457.0,1.0,2.0,1367.0,111.0,1.0,683.5
a,experiment,32,23.0,,n,biztonsági őr,rendőr,participant_id,0.0,181.0,159.0,213.0,196.0,,165.0,1292.0,3803.0,left,1758195846085.0,77,1758195834802.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195847096.0,1.0,8.0,3653.0,0.0,7.0,456.625,0.0,7.0,554.0,227.0,6.0,79.14285714285714
a,experiment,33,20.0,,n,rendező,programozó,participant_id,0.0,157.0,174.0,178.0,161.0,,168.0,6232.0,2660.0,right,1758195664242.0,68,1758195649677.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195665247.0,0.0,5.0,1043.0,300.0,4.0,208.6,1.0,5.0,1738.0,0.0,4.0,347.6
a,experiment,34,29.0,,n,munkás,földműves,participant_id,0.0,319.0,220.0,222.0,226.0,,184.0,1645.0,3156.0,left,1758195961532.0,80,1758195948186.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195962538.0,1.0,4.0,1720.0,151.0,3.0,430.0,0.0,5.0,1031.0,0.0,4.0,206.2
a,experiment,35,2.0,,y,2b,2a,participant_id,0.0,448.0,510.0,139.0,201.0,221.0,247.0,,6905.0,left,1758196017436.0,73,1758196000634.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196018454.0,0.0,1.0,43.0,1094.0,0.0,43.0,1.0,2.0,1577.0,0.0,1.0,788.5
a,experiment,36,5.0,,n,5a,5b,participant_id,0.0,208.0,180.0,153.0,173.0,166.0,177.0,,3849.0,right,1758196066202.0,74,1758196056684.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196067205.0,1.0,2.0,1871.0,37.0,1.0,935.5,0.0,2.0,202.0,0.0,1.0,101.0
a,experiment,37,28.0,,y,Mária,Julcsi,participant_id,0.0,171.0,165.0,184.0,167.0,,172.0,2833.0,4887.0,right,1758195756807.0,75,1758195743601.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195757825.0,1.0,8.0,3066.0,0.0,7.0,383.25,0.0,8.0,1772.0,38.0,7.0,221.5
a,experiment,38,1.0,,n,1a,1b,participant_id,0.0,222.0,188.0,180.0,169.0,331.0,335.0,,4972.0,left,1758196316287.0,80,1758196305484.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196317320.0,0.0,1.0,42.0,0.0,0.0,42.0,1.0,1.0,1745.0,42.0,0.0,1745.0
a,experiment,39,12.0,,n,12a,12b,participant_id,0.0,363.0,222.0,199.0,145.0,227.0,256.0,,5304.0,left,1758195862614.0,74,1758195851143.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195863622.0,0.0,7.0,1264.0,0.0,6.0,180.57142857142858,1.0,6.0,2550.0,369.0,5.0,425.0
a,experiment,40,19.0,,y,szakács,dolgozó,participant_id,0.0,172.0,162.0,171.0,165.0,,175.0,4629.0,3267.0,right,1758196247495.0,75,1758196234139.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196248512.0,0.0,6.0,1193.0,79.0,5.0,198.83333333333334,1.0,5.0,1672.0,371.0,4.0,334.4
a,experiment,41,25.0,,y,ügyész,tudós,participant_id,0.0,339.0,305.0,329.0,380.0,,436.0,2164.0,2939.0,right,1758196083749.0,77,1758196071235.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196084773.0,1.0,7.0,2902.0,0.0,6.0,414.57142857142856,0.0,6.0,334.0,280.0,5.0,55.666666666666664
a,experiment,42,26.0,,n,professzor,pilóta,participant_id,0.0,185.0,174.0,201.0,176.0,,183.0,1717.0,4057.0,right,1758195879167.0,75,1758195867654.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195880183.0,0.0,5.0,868.0,38.0,4.0,173.6,1.0,6.0,1357.0,0.0,5.0,226.16666666666666
a,experiment,43,33.0,,n,burgonya,paradicsom,participant_id,0.0,433.0,184.0,187.0,257.0,,189.0,,4516.0,left,1758195810744.0,73,1758195796785.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195811750.0,0.0,4.0,774.0,0.0,3.0,193.5,1.0,3.0,1052.0,45.0,2.0,350.6666666666667
a,experiment,44,8.0,,y,8b,8a,participant_id,0.0,450.0,216.0,234.0,174.0,179.0,297.0,,5136.0,left,1758196121345.0,72,1758196105862.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196122351.0,0.0,4.0,1460.0,0.0,3.0,365.0,1.0,3.0,1555.0,1016.0,2.0,518.3333333333334
a,experiment,45,19.0,,n,szakács,dolgozó,participant_id,0.0,227.0,169.0,170.0,566.0,,159.0,5618.0,5998.0,left,1758195644648.0,72,1758195626236.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195645653.0,1.0,4.0,2145.0,0.0,3.0,536.25,0.0,3.0,274.0,38.0,2.0,91.33333333333333
a,experiment,46,10.0,,y,10b,10a,participant_id,0.0,181.0,165.0,155.0,179.0,166.0,157.0,,3809.0,right,1758196051640.0,60,1758196042396.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196052644.0,1.0,3.0,2918.0,70.0,2.0,972.6666666666666,0.0,2.0,83.0,2748.0,1.0,41.5
